;;;EXPIRE DATE;PUT/CALL;STRIKE PRICE;CF BID;CF ASK;IMPLIED VOLTLTY;DELTA;GAMMA;RHO;THETA;VEGA;Time to maturity;;;;;EXPIRE DATE;PUT/CALL;STRiIKE PRICE;CF BID;CF ASK;IMPiLIED VOLTLTY;DELTA;GAMMA;RHO;THETA;VEGA
;;/NDXd1725A3500.U;17/04/2025;C-EU;13500;5279.8;5424.4;151.11;0.985;0;0.9492;-225.333;0.548;2;;;;/NDXp1725A3500.U;17/04/2025;P-EU;13500;0;0.5;1.058.647;-0.0004;0;-0.0006;-0.611;0.0222
;;/NDXd1725A3600.U;17/04/2025;C-EU;13600;5179.8;5324.5;1.438.265;0.9867;0;0.9588;-195.216;0.5501;2;;;;/NDXp1725A3600.U;17/04/2025;P-EU;13600;0;0.5;1.044.855;-0.0005;0;-0.0006;-0.6101;0.0223
;;/NDXd1725A3700.U;17/04/2025;C-EU;13700;5079.9;5224.6;1.452.371;0.9848;0;0.9634;-218.301;0.5522;2;;;;/NDXp1725A3700.U;17/04/2025;P-EU;13700;0;0.5;1.022.131;-0.0005;0;-0.0007;-0.6092;0.0224
;;/NDXd1725A3800.U;17/04/2025;C-EU;13800;4980;5124.6;1.422.565;0.9832;0;0.9682;-238.551;0.5542;2;;;;/NDXp1725A3800.U;17/04/2025;P-EU;13800;0;0.55;999.574;-0.0005;0;-0.0007;-0.6629;0.0223
;;/NDXd1725A3900.U;17/04/2025;C-EU;13900;4880.1;5024.7;1.360.901;0.9827;0;0.9748;-239.822;0.5562;2;;;;/NDXp1725A3900.U;17/04/2025;P-EU;13900;0;0.55;977.181;-0.0005;0;-0.0008;-0.662;0.0224
;;/NDXd1725A4000.U;17/04/2025;C-EU;14000;4787.1;4931.4;1.364.365;0.9819;0;0.9808;-246.413;0.5583;2;;;;/NDXp1725A4000.U;17/04/2025;P-EU;14000;0;0.55;956.089;-0.0006;0;-0.0008;-0.6611;0.0225
;;/NDXd1725A4100.U;17/04/2025;C-EU;14100;4686.8;4827.9;1.336.719;0.9781;0;0.9825;-289.976;0.9961;2;;;;/NDXp1725A4100.U;17/04/2025;P-EU;14100;0;0.55;936.555;-0.0006;0;-0.0009;-0.7124;0.0581
;;/NDXd1725A4200.U;17/04/2025;C-EU;14200;4587.3;4731.5;1.308.515;0.9816;0;0.9948;-239.374;0.5623;2;;;;/NDXp1725A4200.U;17/04/2025;P-EU;14200;0;0.55;914.628;-0.0006;0;-0.0009;-0.7094;0.0583
;;/NDXd1725A4300.U;17/04/2025;C-EU;14300;4487.4;4631.6;1.280.511;0.9762;0;0.9942;-299.722;10.032;2;;;;/NDXp1725A4300.U;17/04/2025;P-EU;14300;0;0.55;896.509;-0.0006;0;-0.0009;-0.7064;0.0584
;;/NDXd1725A4400.U;17/04/2025;C-EU;14400;4380.5;4525.1;1.251.956;0.9808;0;1.008;-238.776;10.068;2;;;;/NDXp1725A4400.U;17/04/2025;P-EU;14400;0;0.55;874.878;-0.0007;0;-0.0009;-0.7034;0.0586
;;/NDXd1725A4500.U;17/04/2025;C-EU;14500;4280.6;4425.2;1.224.349;0.9798;0;10.139;-243.009;10.103;2;;;;/NDXp1725A4500.U;17/04/2025;P-EU;14500;0;0.55;853.398;-0.0007;0;-0.0009;-0.7004;0.0588
;;/NDXd1725A4600.U;17/04/2025;C-EU;14600;4180.7;4325.3;1.167.105;0.9792;0;10.203;-243.432;10.138;2;;;;/NDXp1725A4600.U;17/04/2025;P-EU;14600;0;0.55;835.684;-0.0007;0;-0.001;-0.6974;0.059
;;/NDXd1725A4700.U;17/04/2025;C-EU;14700;4087.7;4232.4;1.169.711;0.9788;0;1.027;-241.313;10.173;2;;;;/NDXp1725A4700.U;17/04/2025;P-EU;14700;0;0.55;814.489;-0.0005;0;-0.0007;-0.544;0.0231
;;/NDXd1725A4800.U;17/04/2025;C-EU;14800;3980.9;4125.5;1.142.674;0.9783;0;10.334;-240.463;10.208;2;;;;/NDXp1725A4800.U;17/04/2025;P-EU;14800;0;0.3;779.061;-0.0004;0;-0.0005;-0.3746;0.0232
;;/NDXd1725A4900.U;17/04/2025;C-EU;14900;3881;4025.5;1.115.824;0.9783;0;10.407;-233.685;10.242;2;;;;/NDXp1725A4900.U;17/04/2025;P-EU;14900;0;0.6;779.697;-0.0007;0;-0.0009;-0.6448;0.0598
;;/NDXd1725A5000.U;17/04/2025;C-EU;15000;3781;3925.6;1.089.155;0.9778;0;10.471;-232.833;10.276;2;;;;/NDXp1725A5000.U;17/04/2025;P-EU;15000;0;0.6;758.911;-0.0007;0;-0.0009;-0.6429;0.0601
;;/NDXd1725A5025.U;17/04/2025;C-EU;15025;3763;3904.3;1.052.738;0.9772;0;1.048;-237.488;10.285;2;;;;/NDXp1725A5025.U;17/04/2025;P-EU;15025;0;0.6;753.736;-0.0009;0;-0.0012;-0.7798;0.0598
;;/NDXd1725A5050.U;17/04/2025;C-EU;15050;3730.9;3888.2;1.045.767;0.9769;0;10.495;-238.333;10.294;2;;;;/NDXp1725A5050.U;17/04/2025;P-EU;15050;0;0.6;74.857;-0.0009;0;-0.0012;-0.7791;0.0599
;;/NDXd1725A5075.U;17/04/2025;C-EU;15075;3705.9;3854.2;1.040.277;0.9763;0;10.504;-242.566;10.302;2;;;;/NDXp1725A5075.U;17/04/2025;P-EU;15075;0;0.6;743.412;-0.0009;0;-0.0012;-0.7783;0.0599
;;/NDXd1725A5100.U;17/04/2025;C-EU;15100;3687.1;3827.8;1.062.668;0.9786;0;10.555;-21.843;1.031;2;;;;/NDXp1725A5100.U;17/04/2025;P-EU;15100;0;0.6;741.824;-0.0009;0;-0.0012;-0.7776;0.06
;;/NDXd1725A5125.U;17/04/2025;C-EU;15125;3656.4;3800.5;105.644;0.9778;0;10.562;-224.779;10.319;2;;;;/NDXp1725A5125.U;17/04/2025;P-EU;15125;0;0.6;736.681;-0.0009;0;-0.0012;-0.7768;0.06
;;/NDXd1725A5150.U;17/04/2025;C-EU;15150;3633.2;3775.7;1.049.491;0.9783;0;10.587;-218.426;10.327;2;;;;/NDXp1725A5150.U;17/04/2025;P-EU;15150;0;0.6;731.547;-0.0009;0;-0.0012;-0.7761;0.0601
;;/NDXd1725A5175.U;17/04/2025;C-EU;15175;3612.2;3756.3;1.043.285;0.9926;0;10.808;-77.552;0.2991;2;;;;/NDXp1725A5175.U;17/04/2025;P-EU;15175;0;0.65;726.421;-0.0009;0;-0.0013;-0.7753;0.0601
;;/NDXd1725A5200.U;17/04/2025;C-EU;15200;3583.2;3725.7;1.007.114;0.9934;0;10.837;-69.534;0.2992;2;;;;/NDXp1725A5200.U;17/04/2025;P-EU;15200;0;0.6;721.305;-0.0009;0;-0.0013;-0.7746;0.0602
;;/NDXd1725A5225.U;17/04/2025;C-EU;15225;3563;3706.3;1.000.222;0.9765;0;10.616;-230.275;10.353;2;;;;/NDXp1725A5225.U;17/04/2025;P-EU;15225;0;0.65;716.196;-0.0009;0;-0.0013;-0.7738;0.0602
;;/NDXd1725A5250.U;17/04/2025;C-EU;15250;3531.4;3675.5;102.4;0.9764;0;10.632;-229.426;10.362;2;;;;/NDXp1725A5250.U;17/04/2025;P-EU;15250;0;0.65;71.464;-0.0009;0;-0.0013;-0.7731;0.0603
;;/NDXd1725A5275.U;17/04/2025;C-EU;15275;3504.2;3659.1;987.932;0.9833;0;10.749;-161.429;0.5831;2;;;;/NDXp1725A5275.U;17/04/2025;P-EU;15275;0;0.65;709.546;-0.001;0;-0.0014;-0.8199;0.0603
;;/NDXd1725A5300.U;17/04/2025;C-EU;15300;3481.4;3625.5;1.010.954;0.9761;0;10.664;-228.999;10.379;2;;;;/NDXp1725A5300.U;17/04/2025;P-EU;15300;0;0.65;70.446;-0.001;0;-0.0014;-0.8192;0.0604
;;/NDXd1725A5325.U;17/04/2025;C-EU;15325;3462.2;3606.3;1.004.083;0.9781;0;10.711;-209.254;10.387;2;;;;/NDXp1725A5325.U;17/04/2025;P-EU;15325;0;0.65;699.383;-0.001;0;-0.0014;-0.8184;0.0604
;;/NDXd1725A5350.U;17/04/2025;C-EU;15350;3431.3;3575.4;997.952;0.996;0;10.982;-44.808;0.1414;2;;;;/NDXp1725A5350.U;17/04/2025;P-EU;15350;0;0.65;697.847;-0.0072;0;-0.0101;-63.624;0.3019
;;/NDXd1725A5375.U;17/04/2025;C-EU;15375;3406.3;3550.4;991.103;0.9724;0;10.666;-257.943;10.406;2;;;;/NDXp1725A5375.U;17/04/2025;P-EU;15375;0;0.65;692.784;-0.0008;0;-0.0011;-0.6781;0.0607
;;/NDXd1725A5400.U;17/04/2025;C-EU;15400;3388.1;3531.3;981.361;0.9772;0;10.752;-21.221;10.412;2;;;;/NDXp1725A5400.U;17/04/2025;P-EU;15400;0;0.65;691.257;-0.001;0;-0.0013;-0.7708;0.0607
;;/NDXd1725A5425.U;17/04/2025;C-EU;15425;3363.1;3505.6;949.856;0.9779;0;1.078;-204.585;1.042;2;;;;/NDXp1725A5425.U;17/04/2025;P-EU;15425;0;0.65;689.732;-0.0008;0;-0.0011;-0.6766;0.0608
;;/NDXd1725A5450.U;17/04/2025;C-EU;15450;3333.3;3475.8;972.076;0.9786;0;10.808;-197.384;10.428;2;;;;/NDXp1725A5450.U;17/04/2025;P-EU;15450;0;0.65;684.689;-0.0008;0;-0.0011;-0.677;0.0609
;;/NDXd1725A5475.U;17/04/2025;C-EU;15475;3312.2;3456.3;965.996;0.9771;0;10.805;-208.391;10.437;2;;;;/NDXp1725A5475.U;17/04/2025;P-EU;15475;0;0.7;679.655;-0.0008;0;-0.0012;-0.6762;0.061
;;/NDXd1725A5500.U;17/04/2025;C-EU;15500;3281.4;3425.5;959.926;0.9921;0;11.035;-7.659;0.3025;2;;;;/NDXp1725A5500.U;17/04/2025;P-EU;15500;0;0.7;678.144;-0.0008;0;-0.0012;-0.6755;0.061
;;/NDXd1725A5525.U;17/04/2025;C-EU;15525;3262.3;3406.4;953.143;0.9782;0;10.856;-196.104;10.453;2;;;;/NDXp1725A5525.U;17/04/2025;P-EU;15525;0;0.7;676.636;-0.0011;0;-0.0016;-0.86;0.0608
;;/NDXd1725A5550.U;17/04/2025;C-EU;15550;3233.3;3375.8;947.094;0.9762;0;10.847;-210.923;10.462;2;;;;/NDXp1725A5550.U;17/04/2025;P-EU;15550;0;0.7;671.622;-0.0008;0;-0.0012;-0.674;0.0611
;;/NDXd1725A5575.U;17/04/2025;C-EU;15575;3213.1;3354.7;912.155;0.9763;0;10.866;-208.379;1.047;2;;;;/NDXp1725A5575.U;17/04/2025;P-EU;15575;0;0.7;668.276;-0.0009;0;-0.0012;-0.6732;0.0611
;;/NDXd1725A5600.U;17/04/2025;C-EU;15600;3183.3;3324.1;934.304;0.9722;0;10.826;-241.829;10.481;2;;;;/NDXp1725A5600.U;17/04/2025;P-EU;15600;0;0.7;664.383;-0.0009;0;-0.0012;-0.6725;0.0612
;;/NDXd1725A5625.U;17/04/2025;C-EU;15625;3156.5;3300.6;928.285;0.9759;0;10.896;-208.796;10.487;2;;;;/NDXp1725A5625.U;17/04/2025;P-EU;15625;0;0.7;658.996;-0.0009;0;-0.0012;-0.6717;0.0612
;;/NDXd1725A5650.U;17/04/2025;C-EU;15650;3120.8;3284.4;893.444;0.9764;0;10.922;-202.441;10.495;2;;;;/NDXp1725A5650.U;17/04/2025;P-EU;15650;0;0.7;656.617;-0.0012;0;-0.0017;-0.9039;0.061
;;/NDXd1725A5675.U;17/04/2025;C-EU;15675;3097.3;3259.5;886.747;0.9763;0;10.938;-202.014;10.503;2;;;;/NDXp1725A5675.U;17/04/2025;P-EU;15675;0;0.7;651.246;-0.0012;0;-0.0017;-0.9031;0.061
;;/NDXd1725A5700.U;17/04/2025;C-EU;15700;3088.2;3231.4;910.288;0.9761;0;10.954;-201.587;10.511;2;;;;/NDXp1725A5700.U;17/04/2025;P-EU;15700;0;0.75;64.738;-0.0013;0;-0.0017;-0.9023;0.0611
;;/NDXd1725A5725.U;17/04/2025;C-EU;15725;3056.5;3200.6;90.359;0.9761;0;10.971;-200.313;10.519;2;;;;/NDXp1725A5725.U;17/04/2025;P-EU;15725;0;0.75;643.521;-0.0079;0;-0.0111;-62.014;0.3054
;;/NDXd1725A5750.U;17/04/2025;C-EU;15750;3037.4;3181.5;897.621;0.975;0;10.974;-207.086;10.528;2;;;;/NDXp1725A5750.U;17/04/2025;P-EU;15750;0;0.75;638.173;-0.001;0;-0.0013;-0.7144;0.0614
;;/NDXd1725A5775.U;17/04/2025;C-EU;15775;3013.2;3156.5;861.504;0.9757;0;11.001;-200.306;10.536;2;;;;/NDXp1725A5775.U;17/04/2025;P-EU;15775;0;0.75;634.328;-0.001;0;-0.0013;-0.7148;0.0615
;;/NDXd1725A5800.U;17/04/2025;C-EU;15800;2981.6;3125.7;884.994;0.9733;0;10.986;-217.242;10.545;2;;;;/NDXp1725A5800.U;17/04/2025;P-EU;15800;0;0.75;631.982;-0.001;0;-0.0014;-0.714;0.0615
;;/NDXd1725A5825.U;17/04/2025;C-EU;15825;2956.6;3100.7;879.055;0.9745;0;11.021;-206.228;10.553;2;;;;/NDXp1725A5825.U;17/04/2025;P-EU;15825;0;0.75;626.657;-0.001;0;-0.0014;-0.7133;0.0616
;;/NDXd1725A5850.U;17/04/2025;C-EU;15850;2931.7;3075.8;873.125;0.9743;0;11.036;-205.801;10.561;2;;;;/NDXp1725A5850.U;17/04/2025;P-EU;15850;0;0.8;624.322;-0.0014;0;-0.0019;-0.9454;0.0614
;;/NDXd1725A5875.U;17/04/2025;C-EU;15875;2906.7;3050.8;866.489;0.9684;0;1.097;-251.958;10.573;2;;;;/NDXp1725A5875.U;17/04/2025;P-EU;15875;0;0.8;619.012;-0.0015;0;-0.002;-0.9923;0.0614
;;/NDXd1725A5900.U;17/04/2025;C-EU;15900;2887.4;3028.8;86.058;0.9741;0;1.107;-203.676;10.577;2;;;;/NDXp1725A5900.U;17/04/2025;P-EU;15900;0;0.8;62.264;-0.0013;0;-0.0018;-0.8975;0.0615
;;/NDXd1725A5925.U;17/04/2025;C-EU;15925;2858.5;3002.6;854.679;0.9754;0;11.107;-191.814;10.584;2;;;;/NDXp1725A5925.U;17/04/2025;P-EU;15925;0;0.8;611.392;-0.0015;0;-0.002;-0.9908;0.0615
;;/NDXd1725A5950.U;17/04/2025;C-EU;15950;2831.7;2975.8;848.788;0.9841;0;11.247;-124.684;0.5953;2;;;;/NDXp1725A5950.U;17/04/2025;P-EU;15950;0;0.8;609.078;-0.0015;0;-0.0021;-0.99;0.0615
;;/NDXd1725A5975.U;17/04/2025;C-EU;15975;2808.6;2951.1;842.907;0.9728;0;11.106;-207.741;10.601;2;;;;/NDXp1725A5975.U;17/04/2025;P-EU;15975;0;0.85;605.283;-0.0016;0;-0.0022;-10.369;0.0616
;;/NDXd1725A6000.U;17/04/2025;C-EU;16000;2781.8;2925.9;837.036;0.9715;0;11.106;-215.784;1.061;2;;;;/NDXp1725A6000.U;17/04/2025;P-EU;16000;0;0.85;601.494;-0.0011;0;-0.0016;-0.7545;0.0618
;;/NDXd1725A6025.U;17/04/2025;C-EU;16025;2763.4;2906.7;831.173;0.9714;0;11.122;-21.451;10.618;2;;;;/NDXp1725A6025.U;17/04/2025;P-EU;16025;0;0.85;597.712;-0.001;0;-0.0015;-0.7072;0.0619
;;/NDXd1725A6050.U;17/04/2025;C-EU;16050;2737.6;2881.7;796.126;0.9707;0;1.113;-218.317;10.627;2;;;;/NDXp1725A6050.U;17/04/2025;P-EU;16050;0;0.85;595.417;-0.0011;0;-0.0016;-0.7541;0.062
;;/NDXd1725A6075.U;17/04/2025;C-EU;16075;2697.7;2859.9;818.766;0.9833;0;11.326;-125.192;0.5975;2;;;;/NDXp1725A6075.U;17/04/2025;P-EU;16075;0;0.85;593.126;-0.0011;0;-0.0016;-0.7534;0.062
;;/NDXd1725A6100.U;17/04/2025;C-EU;16100;2688.5;2831.7;812.932;0.9706;0;11.165;-214.498;10.642;2;;;;/NDXp1725A6100.U;17/04/2025;P-EU;16100;0;0.9;58.936;-0.0018;0;-0.0024;-11.222;0.1443
;;/NDXd1725A6125.U;17/04/2025;C-EU;16125;2663.1;2803.3;807.172;0.9714;0;11.194;-20.687;1.065;2;;;;/NDXp1725A6125.U;17/04/2025;P-EU;16125;0;0.9;585.601;-0.0019;0;-0.0026;-11.597;0.1444
;;/NDXd1725A6150.U;17/04/2025;C-EU;16150;2631.9;2776;772.896;0.9779;0;11.304;-160.277;10.653;2;;;;/NDXp1725A6150.U;17/04/2025;P-EU;16150;0;0.9;583.325;-0.0019;0;-0.0026;-11.574;0.1445
;;/NDXd1725A6175.U;17/04/2025;C-EU;16175;2606.9;2751;793.372;0.969;0;11.197;-219.992;10.667;2;;;;/NDXp1725A6175.U;17/04/2025;P-EU;16175;0;0.95;581.052;-0.002;0;-0.0028;-12.348;0.1446
;;/NDXd1725A6200.U;17/04/2025;C-EU;16200;2588.2;2731.8;786.687;0.9686;0;11.209;-221.258;10.675;2;;;;/NDXp1725A6200.U;17/04/2025;P-EU;16200;0;0.95;578.784;-0.0012;0;-0.0016;-0.7496;0.0622
;;/NDXd1725A6225.U;17/04/2025;C-EU;16225;2562.8;2706.9;75.628;0.9688;0;1.123;-217.866;10.683;2;;;;/NDXp1725A6225.U;17/04/2025;P-EU;16225;0;0.95;575.046;-0.0012;0;-0.0017;-0.7488;0.0623
;;/NDXd1725A6250.U;17/04/2025;C-EU;16250;2538.7;2681.9;773.747;0.968;0;11.237;-22.125;10.692;2;;;;/NDXp1725A6250.U;17/04/2025;P-EU;16250;0.05;1;572.786;-0.0013;0;-0.0018;-0.7957;0.0623
;;/NDXd1725A6275.U;17/04/2025;C-EU;16275;2507.1;2651.2;744.775;0.9664;0;11.232;-230.987;10.701;2;;;;/NDXp1725A6275.U;17/04/2025;P-EU;16275;0.05;1;569.028;-0.0024;0;-0.0033;-1.385;0.145
;;/NDXd1725A6300.U;17/04/2025;C-EU;16300;2483.6;2627.7;760.451;0.9683;0;11.278;-214.465;10.707;2;;;;/NDXp1725A6300.U;17/04/2025;P-EU;16300;0.05;1;564.765;-0.0018;0;-0.0025;-10.707;0.1453
;;/NDXd1725A6325.U;17/04/2025;C-EU;16325;2457;2601.1;753.818;0.9611;0;11.194;-266.132;1.072;2;;;;/NDXp1725A6325.U;17/04/2025;P-EU;16325;0.05;1.05;56.051;-0.0026;0;-0.0035;-14.601;0.1452
;;/NDXd1725A6350.U;17/04/2025;C-EU;16350;2438.4;2579.8;747.196;0.9689;0;11.322;-206.409;10.722;2;;;;/NDXp1725A6350.U;17/04/2025;P-EU;16350;0.1;1.05;556.261;-0.0013;0;-0.0018;-0.7927;0.0625
;;/NDXd1725A6375.U;17/04/2025;C-EU;16375;2398.3;2560.4;740.981;0.9674;0;11.319;-214.452;10.731;2;;;;/NDXp1725A6375.U;17/04/2025;P-EU;16375;0.1;1.1;552.019;-0.0013;0;-0.0018;-0.7919;0.0625
;;/NDXd1725A6400.U;17/04/2025;C-EU;16400;2388;2532.1;734.379;0.9819;0;11.542;-119.697;0.6032;2;;;;/NDXp1725A6400.U;17/04/2025;P-EU;16400;0.15;1.1;548.474;-0.0029;0;-0.004;-16.126;0.1455
;;/NDXd1725A6410.U;17/04/2025;C-EU;16410;2372.2;2516.3;731.582;0.9806;0;11.529;-128.661;0.6035;2;;;;/NDXp1725A6410.U;17/04/2025;P-EU;16410;0.15;1.15;54.692;-0.0031;0;-0.0042;-16.914;0.1456
;;/NDXd1725A6420.U;17/04/2025;C-EU;16420;2369;2512.2;729.184;0.966;0;11.333;-219.611;10.746;2;;;;/NDXp1725A6420.U;17/04/2025;P-EU;16420;0.15;1.15;545.367;-0.0031;0;-0.0042;-16.904;0.1456
;;/NDXd1725A6425.U;17/04/2025;C-EU;16425;2364;2507.2;727.787;0.9659;0;11.335;-219.949;10.748;2;;;;/NDXp1725A6425.U;17/04/2025;P-EU;16425;0.15;1.15;544.935;-0.0031;0;-0.0042;-1.69;0.1457
;;/NDXd1725A6430.U;17/04/2025;C-EU;16430;2352.2;2496.3;70.92;0.9667;0;11.349;-214.357;10.748;2;;;;/NDXp1725A6430.U;17/04/2025;P-EU;16430;0.15;1.15;544.504;-0.0031;0;-0.0043;-16.895;0.1457
;;/NDXd1725A6440.U;17/04/2025;C-EU;16440;2342.4;2486.5;723.996;0.9668;0;11.358;-212.492;10.751;2;;;;/NDXp1725A6440.U;17/04/2025;P-EU;16440;0.2;1.15;542.263;-0.0032;0;-0.0045;-17.683;0.1457
;;/NDXd1725A6450.U;17/04/2025;C-EU;16450;2323.4;2475;721.206;0.9664;0;11.359;-214.438;10.755;2;;;;/NDXp1725A6450.U;17/04/2025;P-EU;16450;0.2;1.15;540.713;-0.0033;0;-0.0045;-17.674;0.1458
;;/NDXd1725A6460.U;17/04/2025;C-EU;16460;2329;2469.9;702.588;0.9701;0;11.418;-189.436;10.755;2;;;;/NDXp1725A6460.U;17/04/2025;P-EU;16460;0.2;1.2;539.164;-0.0033;0;-0.0045;-17.665;0.1458
;;/NDXd1725A6470.U;17/04/2025;C-EU;16470;2319.1;2462.3;716.423;0.9677;0;11.392;-204.089;1.076;2;;;;/NDXp1725A6470.U;17/04/2025;P-EU;16470;0.2;1.2;537.616;-0.0015;0;-0.002;-0.8366;0.0627
;;/NDXd1725A6475.U;17/04/2025;C-EU;16475;2313.2;2457.3;699.207;0.9698;0;11.425;-190.026;1.076;2;;;;/NDXp1725A6475.U;17/04/2025;P-EU;16475;0.2;1.2;537.186;-0.0015;0;-0.002;-0.8365;0.0627
;;/NDXd1725A6480.U;17/04/2025;C-EU;16480;2302.3;2446.4;713.638;0.9688;0;11.415;-19.587;10.762;2;;;;/NDXp1725A6480.U;17/04/2025;P-EU;16480;0.25;1.2;536.069;-0.0034;0;-0.0047;-18.443;0.1459
;;/NDXd1725A6490.U;17/04/2025;C-EU;16490;2298.2;2440.7;711.251;0.9674;0;11.403;-20.417;10.767;2;;;;/NDXp1725A6490.U;17/04/2025;P-EU;16490;0.25;1.2;535.211;-0.0034;0;-0.0047;-18.434;0.146
;;/NDXd1725A6500.U;17/04/2025;C-EU;16500;2284;2428.1;70.847;0.9682;0;11.421;-198.069;10.769;2;;;;/NDXp1725A6500.U;17/04/2025;P-EU;16500;0.4;1.25;532.978;-0.0036;0;-0.0049;-19.221;0.146
;;/NDXd1725A6510.U;17/04/2025;C-EU;16510;2278.3;2419.8;690.277;0.9693;0;11.444;-190.274;10.771;2;;;;/NDXp1725A6510.U;17/04/2025;P-EU;16510;0.25;1.25;532.121;-0.0036;0;-0.005;-19.212;0.146
;;/NDXd1725A6520.U;17/04/2025;C-EU;16520;2260.4;2415.7;703.702;0.9672;0;11.422;-202.809;10.776;2;;;;/NDXp1725A6520.U;17/04/2025;P-EU;16520;0.3;1.25;531.265;-0.0037;0;-0.0051;-19.601;0.1461
;;/NDXd1725A6525.U;17/04/2025;C-EU;16525;2257.5;2401.6;686.117;0.9671;0;11.424;-202.724;10.778;2;;;;/NDXp1725A6525.U;17/04/2025;P-EU;16525;0.3;1.25;53.015;-0.0037;0;-0.0051;-19.597;0.1461
;;/NDXd1725A6530.U;17/04/2025;C-EU;16530;2258.8;2402.4;684.732;0.9691;0;11.455;-189.931;10.777;2;;;;/NDXp1725A6530.U;17/04/2025;P-EU;16530;0.3;1.3;529.036;-0.0038;0;-0.0052;-19.991;0.1461
;;/NDXd1725A6540.U;17/04/2025;C-EU;16540;2248.3;2392.4;698.546;0.9673;0;11.438;-200.349;10.782;2;;;;/NDXp1725A6540.U;17/04/2025;P-EU;16540;0.3;1.3;528.181;-0.0038;0;-0.0052;-19.982;0.1462
;;/NDXd1725A6550.U;17/04/2025;C-EU;16550;2234.1;2378.2;696.167;0.9687;0;11.465;-190.435;10.784;2;;;;/NDXp1725A6550.U;17/04/2025;P-EU;16550;0.3;1.3;526.641;-0.0039;0;-0.0053;-20.371;0.1462
;;/NDXd1725A6560.U;17/04/2025;C-EU;16560;2222.1;2375;693.396;0.9766;0;11.583;-143.247;10.779;2;;;;/NDXp1725A6560.U;17/04/2025;P-EU;16560;0.35;1.3;525.102;-0.004;0;-0.0054;-2.076;0.1463
;;/NDXd1725A6570.U;17/04/2025;C-EU;16570;2218.9;2362.5;67.524;0.9685;0;11.476;-190.093;1.079;2;;;;/NDXp1725A6570.U;17/04/2025;P-EU;16570;0.35;1.35;52.425;-0.004;0;-0.0056;-21.149;0.1463
